ID,Source,Sentence,subject,object,actions,temporal_gold,spatial_gold,temporal_final,spatial_final,note,annotator,status
IT0001,itrust,"The health care personnel may enter and edit personal health information including historical values, immunizations, and office visit information but not notes, laboratory procedures, or family history",health care personnel,personal health information,Edit|Enter,,,,,auto-annotated,spacy+rule,auto
IT0002,itrust,The HCP can indicate that the patient has passed away by providing an appropriate diagnosis code,HCP,appropriate diagnosis code,Indicate|Provide,,,,,auto-annotated,spacy+rule,auto
IT0003,itrust,The HCP can graph the height or weight of the patient over the last calendar years,HCP,height,Graph,,,,,auto-annotated,spacy+rule,auto
IT0004,itrust,"For the patient, the HCP can choose either height or weight to graph",HCP,patient,Choose|Graph,,,,,auto-annotated,spacy+rule,auto
IT0005,itrust,"The HCP can document medications, lab procedures, diagnoses, medical procedures, and immunizations",HCP,medications,Document,,,,,auto-annotated,spacy+rule,auto
IT0006,itrust,The HCP may also add a patient referral,HCP,patient referral,Add,,,,,auto-annotated,spacy+rule,auto
IT0007,itrust,HCPs can return to an office visit and modify or delete the fields of the office visit,HCPs,office visit,Delete|Modify,,,,,auto-annotated,spacy+rule,auto
IT0008,itrust,A patient’s DLHCP can add or delete a patient’s personal representative,patient’s DLHCP,patient’s personal representative,Add|Delete,,,,,auto-annotated,spacy+rule,auto
IT0009,itrust,The administrator will maintain and update a listing of allowable immunizations that an HCP can use,administrator,listing,Maintain|Update|Use,,,,,auto-annotated,spacy+rule,auto
IT0010,itrust,The administrator will maintain a listing of allowable diagnoses that an LHCP can use,administrator,listing,Maintain|Use,,,,,auto-annotated,spacy+rule,auto
IT0011,itrust,The administrator will maintain and update a listing of allowable drugs that an HCP can use,administrator,listing,Maintain|Update|Use,,,,,auto-annotated,spacy+rule,auto
IT0012,itrust,The administrator will maintain and update a listing of allowable laboratory procedures that an HCP can use,administrator,listing,Maintain|Update|Use,,,,,auto-annotated,spacy+rule,auto
IT0013,itrust,An LHCP chooses a chronic disease and a patient,LHCP,chronic disease,Choose,,,,,auto-annotated,spacy+rule,auto
IT0014,itrust,The system shall enable the administrator to add a new entry for a hospital or modify an existing hospital entry,system,administrator,Add|Enable|Modify,,,,,auto-annotated,spacy+rule,auto
IT0015,itrust,The administrator is not allowed through the system interface to delete an existing entry or modify the hospital ID number,administrator,system interface,Delete|Modify,,,,,auto-annotated,spacy+rule,auto
IT0016,itrust,A patient or personal health representative can choose to view a list of their own prescriptions,patient,list,Choose|View,,,,,auto-annotated,spacy+rule,auto
IT0017,itrust,The LHCP can view a prescription list for a selected patient,LHCP,prescription list,Select|View,,,,,auto-annotated,spacy+rule,auto
IT0018,itrust,The HCP can edit patient information according to data format,HCP,patient information,Edit,,,,,auto-annotated,spacy+rule,auto
IT0019,itrust,The HCP does not have the ability to enter or view the patient’s security question or password,HCP,patient’s security question,Enter|View,,,,,auto-annotated,spacy+rule,auto
IT0020,itrust,The LHCP can schedule an appointment with a patient,LHCP,appointment,Schedule,,,,,auto-annotated,spacy+rule,auto
IT0021,itrust,The LHCP can view a list of upcoming appointments,LHCP,list,View,,,,,auto-annotated,spacy+rule,auto
IT0022,itrust,The user can view appointment details,user,appointment details,View,,,,,auto-annotated,spacy+rule,auto
IT0023,itrust,The LHCP can view a comprehensive patient report,LHCP,comprehensive patient report,View,,,,,auto-annotated,spacy+rule,auto
IT0024,itrust,The LHCP can view a list of requested reports,LHCP,list,View,,,,,auto-annotated,spacy+rule,auto
IT0025,itrust,A user can view physician satisfaction survey results,user,physician satisfaction survey,View,,,,,auto-annotated,spacy+rule,auto
IT0026,itrust,An HCP can create a lab procedure for a given office visit,HCP,lab procedure,Create,,,,,auto-annotated,spacy+rule,auto
IT0027,itrust,An HCP can view a previously created lab procedure,HCP,previously created lab procedure,Create|View,,,,,auto-annotated,spacy+rule,auto
IT0028,itrust,An HCP can reassign a lab procedure to another lab technician if it is not in the testing state,HCP,lab procedure,Reassign,,,,,auto-annotated,spacy+rule,auto
IT0029,itrust,An HCP can remove a lab procedure if its status is in transit or received,HCP,lab procedure,Receive|Remove,,,,,auto-annotated,spacy+rule,auto
IT0030,itrust,The LHCP can view all patients with whom they have had an office visit,LHCP,all patients,View,,,,,auto-annotated,spacy+rule,auto
IT0031,itrust,The patient can select a diagnosis and view LHCPs who have handled that diagnosis,patient,diagnosis,Select,,,,,auto-annotated,spacy+rule,auto
IT0032,itrust,The administrator can assign a healthcare provider to hospitals,administrator,healthcare provider,Assign,,,,,auto-annotated,spacy+rule,auto
IT0033,itrust,An LHCP can enter a user as part of the system,LHCP,user,Enter,,,,,auto-annotated,spacy+rule,auto
IT0034,itrust,A patient or representative can send a message to an LHCP,patient,message,Send,,,,,auto-annotated,spacy+rule,auto
IT0035,itrust,An LHCP can send a message to a patient or representative,LHCP,message,Send,,,,,auto-annotated,spacy+rule,auto
IT0036,itrust,A patient or representative can reply to a message,patient,message,Reply,,,,,auto-annotated,spacy+rule,auto
IT0037,itrust,An LHCP can reply to a message,LHCP,message,Reply,,,,,auto-annotated,spacy+rule,auto
IT0038,itrust,A user can read messages from the inbox or outbox,user,messages,Read,,,,,auto-annotated,spacy+rule,auto
