index,input,acp
0,"To support reviewers with making choices, CyberChair provides them with several webpages containing overviews of  the submitted abstracts.",1
1,CyberChair generates a paper distribution proposal for the PCC.,1
2,"As soon as the full paper deadline has passed, the papers can be assigned to the reviewers.",1
3,"In step 2, the full paper must be submitted by uploading it.",1
4,"Although CyberChair is not something to sit in (please refer to www.cyberchair.com if you are looking for that), when you are a program chair, you can sit back, relax and watch the progress of the submission and review process.",1
5,"For this process to work smoothly, the abstracts should be submitted at least one week  before the full paper is submitted.",1
6,"Usually, people are allowed to send their submission by email.",1
7,"Reviewers can indicate whether they are an expert on the topic (X), no expert, but knowledgable in the subject area (Y), or an informed outsider (Z).",1
8,Downloading of papers by the reviewers can start as soon as papers are submitted.,1
9,"The current implementation collects the preferences (bids), expertise levels and willingness to review papers on certain topics and the conflicts of interest of the reviewers.",1
10,"In the first step, authors must fill in a webform shown by figures 1 and 2, on which they state their names and contact information, the title of their paper, an abstract of the paper, and indicate which conference topics their paper covers.",1
11,"In case there are less than 4 reviewers, this process is repeated with the list of reviewers who indicated a low preference for the paper.",1
12,"The level of agreement among reviewers is indicated on each reviewer's personal page, using a coloring scheme.",1
13,"After the meeting, the reviewers’ comments are sent back to the authors, so that they can improve their paper.",1
14,The review process can be monitored by the chair.,1
15,His or her personal webpage will then be updated automatically.,1
16,"For each paper that a reviewer would like to review, the corresponding checkbox in the left part of the window should be marked.",1
17,Other reasons are that authors are forced to use it to submit their paper.,1
18,"You may also want to take a look at 2 posters: an overview (, 140 Kb) and a picture containing screenshots (, 1.71 Mb).",1
19,It generates several overviews based on the reviews which support the Program Committee (PC) in selecting the best papers.,1
20,"This is used to discover papers that have only been reviewed by non-experts, so that the PCC may ask another reviewer to review the paper.",1
21,These overviews are currently updated at 5 minutes before the hour.,1
22,"After the PC meeting, the PCC must inform the maintainer about the accepted papers, so that the notifications can be sent to the authors.",1
23,Authors can submit their abstracts and papers using the web (uploading).,1
24,"After the program committee meeting has taken place, and papers have been selected, the (anonymous) comments can be automatically sent to the authors.",1
25,"Further, it allows reviewers to learn about each other’s opinions, which provides means for good preparation for the PC meeting.",1
26,The authors must use the login and password combination sent after phase 1.,1
27,"Reviews can either be submitted via a webpage, or filled in off-line and emailed.",1
28,"To be able to protect the reviews from outsiders, each reviewer gets his or her own directory on the webserver.",1
29,"Following Nierstrasz’s pattern Make Champions Explicit , the reviewers are asked to fill in the classification of papers on the review form.",1
30,"When a reviewer reaches this maximum, he or she will not be part of the preference lists, because apparently his or her expertise is needed to review ’less popular’ papers.",1
31,"Further, a high or low priority should be chosen, to indicate how eager they are to review the paper.",1
32,The submitted bids are accumulated.,1
33,The 4 reviewers with the least number of papers assigned so far ’get’ the paper.,1
34,"In case the ’expertise-value’ is equal, the reviewer with the least number of papers assigned so far ’gets’ the paper.",1
35,These overviews can be printed in case reviewers want to read the abstracts offline.,1
36,"All review files a reviewer needs, such as the review form and other reviewers’ reviews, are written in the reviewer’s directory.",1
37,"CyberChair supports preparation of the proceedings by generating the table of contents and author index, based on the input of the authors.",1
38,Authors must submit their paper in two steps.,1
39,"Finally, after the camera-ready papers have been submitted, the proceedings must be prepared by the maintainer by entering the conference sessions and the numbers of the papers within those sections in a specific template file.",1
40,The reviewer can be added to the list of reviewers for that paper.,1
41,The pages of the reviewers are generated once by the maintainer when the paper distribution has been done.,1
42,"Based on the preferences and the reviewers' expertise, CyberChair calculates a paper assignment proposal for the chair, where as many as possible preferences of the reviewers are honored, provided that all papers are assigned to an equal number of reviewers (so also the papers that did not get any preferences), and all reviewers are assigned as much as possible an equal number of papers.",1
43,"In case a reviewer has already submitted a review of the selected paper, hyperlinks to the reviews of the other reviewers are shown, so that the reviewer can read their opinion.",1
44,"When all submissions have arrived, suitable members of the Program Committee (PC) must be selected to review each paper.",1
45,Reviewers are also asked to inform the maintainer of papers they do not want to review because of a conflict of interest.,1
46,The state is based on the classification given to papers by the reviewers.,1
47,"CyberChair provides direct reflection on submitted reviews (for easy comparison with the other reviewers' opinions), without the maintainer's interference.",1
48,A copy of the message is sent to the PCC.,1
49,"As soon as the reviewer has submitted his or her review, the review will be the default to be displayed in this frame when the reviewer clicks on the paper number in the top frame.",1
50,The reviewers’ reviews are compared to the other reviews to detect conflicts.,1
51,"This list is sorted, based on the number of papers the reviewers have already been assigned so far.",1
