index,input,acp
0,"The system retrieves and displays the Student’s current schedule (e.g., the schedule for the current semester).",1
1,The system cancels the course offering for each schedule that contains it.,1
2,"The system requests that the Registrar specify the function he or she would like to perform (either Add a Student, Update a Student, or Delete a Student)",1
3,They will also need to see which students signed up for their course offerings.,1
4,"If no alternates are available, then no substitution will be made.",1
5,The Student also selects any course offerings to delete from the existing schedule.,1
6,"If a course offering becomes full while a student is building a schedule including that offering, the student must be notified.",1
7,Only Professors can enter grades for students.,1
8,The professor selects possibly and possibly de-selects the course offerings that he or she wishes to teach for the upcoming semester.,1
9,The professor is added to the system.,1
10,The Student selects 4 primary course offerings and 2 alternate course offerings from the list of available offerings.,1
11,This use case allows the Registrar to maintain student information in the registration system.,1
12,The Student verifies the deletion.,1
13,"If, in the Update a Professor  or Delete a Professor sub-flows, a professor with the specified id number does not exist, the system displays an error message.",1
14,Professors will be able to access the system to sign up to teach courses as well as record grades.,1
15,"If, in the Update a Student  or Delete a Student  sub-flows, a student with the specified id number does not exist, the system displays an error message.",1
16,"For each selected course offering on the schedule not already marked as “enrolled in”, the system verifies that the Student has the necessary prerequisites, that the course offering is open, and that there are no schedule conflicts.",1
17,"If, in the Update a Schedule or Delete a Schedule sub-flows, the system is unable to retrieve the Student’s schedule, an error message is displayed.",1
18,The system requests that the Registrar enter the professor id,1
19,"At the end of the semester, the student will be able to access the system to view an electronic report card.",1
20,The system requests that the Registrar enter the student id.,1
21,The system deletes the student from the system.,1
22,"In addition, each student will indicate two alternative choices in case the student cannot be assigned to a primary selection.",1
23,The system displays a list of course offerings the Professor taught in the previous semester.,1
24,"If there is no conflict, the system updates the course offering information for each offering the professor selects (i.e., records the professor as the instructor for the course offering).",1
25,"If, in the Basic Flow, the professor is not eligible to teach any course offerings in the upcoming semester, the system will display an error message.",1
26,The system requests that the Registrar enter the professor information.,1
27,This use case allows a Professor to submit student grades for one or more classes completed in the previous semester.,1
28,"If the Professor wishes to skip a particular student, the grade information can be left blank and filled in at a later time.",1
29,"Once the registration process is completed for a student, the registration system sends information to the billing system so the student can be billed for the semester.",1
30,The Professor selects a course offering.,1
31,The system also retrieves and displays the list of courses the professor has previously selected to teach.,1
32,"If, in the Submit Schedule sub-flow, the system determines that the Student has not satisfied the necessary prerequisites, or that the selected course offering is full, or that there are schedule conflicts, an error message is displayed.",1
33,The system retrieves and displays the student information.,1
34,"If, in the Delete A Student  sub-flow, the Registrar decides not to delete the student, the delete is cancelled and the Basic Flow is re-started at the beginning.",1
35,The system displays each student and any grade that was previously assigned for the offering.,1
36,"If the use case was successful, student grades for a course offering are updated.",1
37,The system removes the professor from teaching the de-selected course offerings.,1
38,The system prompts the Registrar to confirm the deletion of the professor.,1
39,"If the use case was successful, the student schedule is created, updated, or deleted.",1
40,The system provides the Registrar with the new professor id.,1
41,The system provides the Registrar with the new student id.,1
42,The Professor may also change the grade for a student by entering a new grade.,1
43,The Student may update the course selections on the current selection by deleting and adding new course offerings.,1
44,This use case allows a Student to register for course offerings in the current semester.,1
45,"Once the Registrar updates the necessary information, the system updates the student information.",1
46,Only the Registrar is allowed to change any student information.,1
47,The Registrar verifies the deletion.,1
48,The system deletes the professor from the system.,1
49,"For each semester, there is a period of time that students can change their schedule.",1
50,"Once the student has made his or her selections, the system updates the schedule for the Student using the selected course offerings.",1
51,This use case allows a Student to view his or her report card for the previously completed semester.,1
52,The student is added to the system.,1
