index,input,acp
0,The drug desired to be prescribed is checked against the patient's drug allergies.,1
1,The user's associated filter initially has all empty inputs for the filtering criteria before the user modifies it.,1
2,"The HCP selects a procedure code, a priority from 1 to 3 (1=most important, 3=not as important), and Lab Technician (listed with his or her specialty and the number of pending lab procedures in his or her priority queue, grouped by priority).",1
3,"If the confirmation screen does not show the name of the intended patient, the HCP is then prompted to input the correct patient identification information again.",1
4,"The HCP confirms the reassignment, or cancels the reassignment .",1
5,The user can select an office visit from the calendar to read the visit's details .,1
6,The patient is sent a fake email that the HCP has prescribed a medication that he or she is allergic to or that has a known interaction with a drug he or she is taking.,1
7,The public health agent may also choose to remove an adverse event report (such as based upon communication with the reporter or because the report appears to be bogus) .,1
8,"When an LHCP views a list of his or her upcoming appointments, they are presented with an option to edit or remove the appointment.",1
9,A LHCP creates an  UAP.,1
10,An HCP can add commentary to a pending lab procedure .,1
11,The administrator will maintain a listing of allowable diagnoses that an LHCP can use.,1
12,The patient has authenticated himself or herself in the iTrust Medical Records system(UC3).,1
13,The LHCP does not confirm the selection and can try again.,1
14,The message will display the risk factors that the patients exhibit.,1
15,The data for personnel can be edited according to Data Format 6.2 (all fields mandatory except for associated MID and Street Address 2) .,1
16,The sending HCP does not confirm the selection and is prompted to try again.,1
17,The medication is checked against the patient's current and future prescriptions.,1
18,The HCP can choose to graph the height or weight of the patient.,1
19,"The patient may choose to view the list sorted by the role of the accessor relative to the patient (personal health representative, LHCP, UAP, Emergency Responder; any order is fine as long as the list is sorted by role) as well as by date for each role type, most recent access first.",1
20,The system shall store (1) reason id number for the reason ; and (2) up to 80 alphanumeric characters giving the name of the reason.,1
21,Both patients and LHCPs can view a list of their upcoming appointments .,1
22,A patient may view his or her own lab procedure.,1
23,The administrator has authenticated himself or herself in the iTrust Medical Records system (UC3).,1
24,"The patient may optionally enter a zip code (match on first three numbers of zip code), in addition to the name possibly and possibly specialty.",1
25,The iTrust user (patient) has been authenticated in the iTrust Medical Records system (UC3).,1
26,"In the list of in transit lab procedures , the Lab Technician can update the status to received when the sample has been received in his or her lab.",1
27,The LHCP is presented with a list of other appointments that conflict with the new one.,1
28,"The HCP may sort the list of referrals by patient name, receiving HCP name, time generated, possibly and possibly priority.",1
29,The patient can also add a LHCP to their provider list by searching for the name possibly and possibly specialty of a LHCP  and then selecting to add the HCP to their list of providers.,1
30,"The patient or personal health representative can see an abbreviated health history of their siblings, parents, and both sets of grandparents for which MIDs are available in iTrust.",1
31,"The user selects a prescription from the calendar to read its details by clicking the Read Details link beside or below the medication displayed for the prescription, and then the details for the prescription shall be displayed in a new page, including the medications prescribed (i.e., NDC, see Data Format 6.6), date prescribed, start date, end date for each prescription, and the name of the doctor who prescribed the medication.",1
32,The HCP is notified that required fields contain no input.,1
33,The HCP's medical identification number should also be maintained.,1
34,The LHCP is provided a bar chart of diagnosis counts during the specified time period as well as a yes or no answer on whether an epidemic is occurring during any consecutive two weeks during the time period.,1
35,An LHCP can delete a patient from his or her monitoring list by the LHCP typing the the patient's MID .,1
36,"The LHCP chooses to examine a patient for which the preconditions do not apply (e.g., an adult shouldn't be tested for child diabetes) and the LHCP is prompted that no analysis can occur.",1
37,"The HCP can view patient name, lab procedure code, current lab procedure status, timestamp, and Lab Technician name.",1
38,"The LHCP requests a comprehensive report for all patients with a specified gender, age, and diagnosis .",1
39,The HCP selects a patient by typing in the MID of the patient .,1
40,An HCP may enter or edit their own demographic information according to data format 6.2.,1
41,"A fake email is sent to the LHCP who administered the immunization indicating the patient name and MID, drug, and symptoms.",1
42,"A patient can select to report height, weight, possibly and possibly pedometer readings for those for whom he or she is a patient representative.",1
43,A user chooses to view physician satisfaction survey results.,1
44,An LHCP can view a list of their upcoming appointment requests .,1
45,A patient may view his or her own lab procedure results .,1
46,"The sending HCP must select a receiving HCP by either entering the HCP's MID and confirming the selection, or by searching for the HCP by name.",1
47,He or she can report his or her blood pressure (systolic and diastolic)  possibly and possibly glucose levels .,1
