index,input,acp
0,"For each patient from the monitoring list, the LHCP can edit blood pressure, glucose levels, height, weight and pedometer readings.",1
1,The LHCP is able to view the comprehensive patient report.,1
2,"The reports are viewed under the View My Records tab.",1
3,"The input data, a timestamp and the fact are saved.",1
4,"An LHCP views the height, weight and pedometer data monitoring details.",1
5,"System presents a list of the patient's expired prescriptions, sorted by start date (the later date is ranked earlier closer to the top).",1
6,"The appointments in the list shall be ordered by appointment date and time, the soonest upcoming first.",1
7,An LHCP views a list of his upcoming appointments.,1
8,An administrator maintains the hospital listing.,1
9,System displays his appointments on the calendar.,1
10,The HCP selects reasons out from the nine reasons listed here for the overriding.,1
11,"A patient, personal health representative or HCP views laboratory procedure status.",1
12,The HCP can add the prescription to the list of medications.,1
13,The administrator is allowed to add a new entry for a reason.,1
14,The HCP can edit the patient according to data format.,1
15,The drug is checked against the patient's drug allergies.,1
16,The user can select a laboratory procedure from the calendar to read the laboratory procedure's details.,1
17,The LHCP obtains a printable report.,1
18,An LHCP refers a patient to another receiving LHCP.,1
19,The HCP notes about an office visit.,1
20,System presents a listing of all immunizations for which he has been administered in the last 12 months.,1
21,"An LHCP, patient and representative can sort his message inbox and message outbox.",1
22,The HCP can disallow viewing access to the laboratory results.,1
23,"The patient may optionally enter a zip code (match on first three numbers of zip code), in addition to the name possibly and possibly specialty.",1
24,A public health agent selects a specific time period for which he would like to see a detailed listing of all adverse events related to prescription drugs or immunizations.,1
25,The patient chooses My Diagnoses.,1
26,"A patient, patient representative, or LHCP can sort messages in his message outbox by the recipient's last name or timestamp (but not both) in either ascending or descending order.",1
27,"When an LHCP views a list of his upcoming appointments, system presents an option to edit or remove the appointment.",1
28,The patient views his access log.,1
29,"The admin must specify a specialty for a new LHCP (General Physician, Heart Surgeon, OB, GYN, Pediatrician, or Surgeon).",1
30,The patient can undesignate any LHCP as being a DLHCP for them.,1
31,A public health agent sees trends in adverse events relate to prescription drugs or immunizations.,1
32,The data for personnel can be edited according to Data Format.,1
33,"An LHCP, patient or representative can modify his messagedisplayingfilter by modifying the following filtering criteria.",1
34,The administrator stores hospital Id number for the hospital and the name of the hospital.,1
35,The HCP's medical identification number should also be maintained.,1
36,The HCP selects a medication prescribed from a pull down list.,1
37,A patient or personal representative may view medical records including family history.,1
38,The LHCP then sends the request or to cancel.,1
39,"A fake email is sent to the LHCP who administered the immunization indicating the patient name and MID, drug, and symptoms.",1
40,System presents a list of the patients.,1
41,"A patient views basic information about his designated LHCPs, including the name, phone number, and contact email information.",1
42,"Additionally, the HCP can document none, one, or more medications prescribed; none, one, or more lab procedures that are ordered (LOINC code, see Data Format 6.11); none, one, or more diagnoses (via the ICD-9CM code); none, one, or more medical procedures performed; and none, one, or more immunizations given chosen from appropriate pull-down lists.",1
43,"System presents a list of the patients whose height, weight, or pedometer data type is specified to be under monitoring and for which he or she is allowed to report measurements.",1
44,System displays his appointments in the current month.,1
45,"System presents the patient’s name, patient’s address, and patient’s date of last office visit.",1
